content,cleaned
"Dr Narayana Rao Appini
Head of the Department
Computer Networks, Machine Learning...
41 Publications
View Profile","dr narayana rao appini head of the department computer networks, machine learning... 41 publications view profile"
"Prof Nataraja Suresh Myle
Professor
Computer Science...
View Profile",prof nataraja suresh myle professor computer science... view profile
"Mr Venkata Mahendra Tatiparthi
Associate Professor
Computer Science...
5 Publications
View Profile",mr venkata mahendra tatiparthi associate professor computer science... 5 publications view profile
"Dr Lakshmana Rao B
Associate Professor
Computer Science,Software Engineering...
9 Publications
View Profile","dr lakshmana rao b associate professor computer science,software engineering... 9 publications view profile"
"Ms Manne Sujana
Assistant Professor
AI,Deep Learning...
View Profile","ms manne sujana assistant professor ai,deep learning... view profile"
"Mr Mekala Sivapratap Reddy
Assistant Professor
Machine Learning, Social Networks, Security...
6 Publications
View Profile","mr mekala sivapratap reddy assistant professor machine learning, social networks, security... 6 publications view profile"
"Mr Chiranjeevi S V
Assistant Professor
Computer Organization, DBMS, DLD, CN...
2 Publications
View Profile","mr chiranjeevi s v assistant professor computer organization, dbms, dld, cn... 2 publications view profile"
"Mrs Chandrakala Palem
Assistant Professor
Computer Science...
View Profile",mrs chandrakala palem assistant professor computer science... view profile
"Mr Venkateswarlu Avula
Assistant Professor
Artificial intelligence is to enabling machines to...
13 Publications
View Profile",mr venkateswarlu avula assistant professor artificial intelligence is to enabling machines to... 13 publications view profile
"Dr Mamatha Sekireddy
Assistant Professor
Working as Asst.professor in AI and DS DEPARTMENT...
9 Publications
View Profile",dr mamatha sekireddy assistant professor working as asst.professor in ai and ds department... 9 publications view profile
"Mrs Kalyani Bondu
Assistant Professor
Software Engineering...
View Profile",mrs kalyani bondu assistant professor software engineering... view profile
"Ms Swarnalatha V
Assistant Professor
Python Programming, Digital Logic Design, Programm...
View Profile","ms swarnalatha v assistant professor python programming, digital logic design, programm... view profile"
"Mr P PENCHALA PRASANTH
Assistant Professor
Artificial Intelligence...
9 Publications
View Profile",mr p penchala prasanth assistant professor artificial intelligence... 9 publications view profile
"Mrs chandrakala palem
Assistant Professor
...
View Profile",mrs chandrakala palem assistant professor ... view profile
"Mrs Pitti Jyothi
Assistant Professor
Teaching expert with 7+ years of experience....
View Profile",mrs pitti jyothi assistant professor teaching expert with 7 years of experience.... view profile
[HEADING] Department of AI and DS,heading department of ai and ds
[HEADING] Dr Narayana Rao Appini,heading dr narayana rao appini
[HEADING] Prof Nataraja Suresh Myle,heading prof nataraja suresh myle
[HEADING] Mr Venkata Mahendra Tatiparthi,heading mr venkata mahendra tatiparthi
[HEADING] Dr Lakshmana Rao B,heading dr lakshmana rao b
[HEADING] Ms Manne Sujana,heading ms manne sujana
[HEADING] Mr Mekala Sivapratap Reddy,heading mr mekala sivapratap reddy
[HEADING] Mr Chiranjeevi S V,heading mr chiranjeevi s v
[HEADING] Mrs Chandrakala Palem,heading mrs chandrakala palem
[HEADING] Mr Venkateswarlu Avula,heading mr venkateswarlu avula
[HEADING] Dr Mamatha Sekireddy,heading dr mamatha sekireddy
[HEADING] Mrs Kalyani Bondu,heading mrs kalyani bondu
[HEADING] Ms Swarnalatha V,heading ms swarnalatha v
[HEADING] Mr P PENCHALA PRASANTH,heading mr p penchala prasanth
[HEADING] Mrs chandrakala palem,heading mrs chandrakala palem
[HEADING] Mrs Pitti Jyothi,heading mrs pitti jyothi
